Y;X1;X2;X3
1376;185;344;645
2767;115;363;623
3879;117;335;695
1982;123;383;607
1894;128;312;684
2998;161;312;659
3685;160;343;666
3187;114;322;629
4463;129;320;629
2917;175;389;627
1419;144;399;698
4410;192;326;607
1911;165;357;633
2702;114;358;630
4471;105;392;678
2919;168;363;658
3061;154;360;654
1193;144;302;638
3269;160;389;681
4146;169;345;687
1115;133;328;632
2297;169;378;639
3565;127;319;669
4884;179;336;684
3455;155;352;614
2880;158;396;677
2648;113;335;629
2549;149;332;621
1084;115;388;622
4731;117;316;641
4228;179;398;612
1817;180;301;646
4001;170;353;628
3360;200;308;647
4472;145;345;600
2055;106;361;683
1034;187;352;670
4773;137;301;699
3514;186;346;619
1338;167;303;676
2151;161;384;622
1137;166;347;660
3131;172;391;690
4241;128;368;614
1038;144;328;600
3680;147;307;628
4299;157;370;693
2572;119;387;643
2340;115;321;605
2407;103;383;602
4454;164;344;697
3087;169;374;662
3511;179;332;652
4358;129;303;640
4941;119;322;623
3891;100;348;646
4627;132;375;699
3536;150;350;695
4882;135;308;686
4796;196;385;606
3917;118;396;625
3627;173;341;668
4545;101;380;685
1591;192;341;643
4837;198;307;682
2021;197;357;697
1136;131;354;688
3362;105;348;600
2067;119;357;689
1809;139;345;679
3538;137;305;690
4506;156;350;699
4089;188;332;700
2788;195;389;629
4592;120;361;693
2282;192;374;600
4131;128;367;616
2046;136;367;674
1346;153;311;672
4286;195;398;697
4524;142;301;636
4128;170;303;680
2501;118;359;659
4277;149;358;660
2256;102;314;684
2347;153;302;645
1450;159;362;664
4680;172;388;654
1649;184;385;624
4570;185;354;694
4690;121;317;695
3135;187;331;626
3503;154;395;672
3994;184;378;659
2002;128;368;688
3346;112;353;637
2868;104;360;639
1330;127;322;615
