Y;X1;X2;X3
4688;151;382;691
3844;126;367;619
2750;124;305;646
3900;176;343;679
4004;199;306;646
3670;104;362;625
3811;139;308;631
1151;136;398;642
2839;117;309;601
1942;198;390;700
1234;125;373;628
1054;146;319;609
3366;124;358;619
3527;189;373;682
1706;174;314;679
4771;187;395;653
3882;129;301;695
4115;125;326;604
4954;169;311;649
1953;147;346;685
1676;123;361;641
3122;118;348;633
4924;118;320;654
3053;142;383;673
2554;195;388;603
1823;102;385;660
3309;183;387;619
3471;153;301;621
1106;164;363;614
1291;110;398;632
4329;145;388;609
2004;138;307;691
4863;196;365;655
2307;115;377;621
2279;179;320;673
1124;103;391;608
3105;100;354;628
1401;140;366;677
3924;160;331;658
1007;169;393;652
1756;157;360;642
1903;195;391;616
3194;120;386;641
2341;138;390;616
2821;155;313;682
2505;101;329;627
4282;135;318;611
3785;126;347;640
1079;100;329;683
2867;182;374;636
3060;133;378;646
1496;160;307;607
1827;186;378;605
1775;113;356;639
4513;120;314;669
1513;170;310;665
3033;181;378;688
2003;169;397;631
3945;134;312;604
2706;105;324;628
4561;149;353;630
2912;190;327;691
3880;151;374;666
1016;176;391;660
3154;173;329;652
3421;164;386;677
4139;126;378;631
2685;143;329;657
2079;190;378;613
3210;179;393;695
3530;112;335;649
1249;180;361;665
3653;134;362;674
2766;147;306;633
2840;100;393;675
3369;173;367;646
2389;119;337;688
3498;171;369;635
1604;160;320;668
2514;118;321;693
1602;152;308;618
2379;152;327;628
4760;190;380;637
2364;186;309;643
3874;124;379;640
3698;156;345;621
1921;198;307;651
2683;123;301;677
2686;194;393;677
1962;122;308;624
1986;167;357;669
4526;158;308;623
4655;169;315;643
4389;174;380;682
1922;153;351;675
4391;151;306;630
1731;155;338;663
1541;185;374;635
