X1;X2;X3;Y
5;7;28;102
9;11;30;110
6;10;27;120
2;12;25;104
6;15;27;101
10;7;30;120
3;13;28;119
4;6;30;113
7;13;29;105
1;6;28;112
7;10;26;111
6;6;28;109
8;13;25;105
10;12;27;118
4;7;27;112
8;10;30;110
8;9;30;116
5;14;26;112
1;11;28;118
2;9;25;112
6;14;30;118
2;13;26;118
1;6;27;118
2;7;30;105
1;13;30;107
1;6;30;119
6;12;25;105
4;11;30;119
9;12;25;104
8;11;29;117
4;12;30;117
3;9;26;118
4;7;25;100
4;12;26;118
3;7;28;101
9;11;25;116
3;11;26;115
4;12;29;117
9;8;30;114
3;13;26;108
1;6;26;117
1;14;27;114
1;14;29;116
6;8;27;101
5;12;25;118
7;11;30;120
9;15;27;110
1;11;25;112
8;12;29;105
4;15;28;106
5;12;27;109
5;7;26;104
1;7;26;100
7;7;27;114
1;14;26;101
7;6;28;115
2;12;26;105
7;12;28;102
1;6;30;118
10;14;30;102
9;12;27;101
10;7;26;113
8;14;26;111
2;8;26;105
2;9;25;119
8;5;27;104
8;7;30;110
1;14;28;103
8;8;29;108
1;5;29;115
4;10;29;113
6;9;28;104
4;8;27;100
6;13;26;107
10;15;26;109
1;15;29;103
7;5;25;117
8;12;30;106
5;11;28;113
6;14;26;107
7;9;25;103
8;8;30;113
7;8;27;115
4;12;27;101
6;13;30;108
8;8;29;111
5;10;30;108
7;14;25;113
8;6;27;112
7;8;30;103
3;10;26;118
4;7;30;109
8;12;25;116
9;6;28;103
4;7;26;103
9;8;27;101
5;11;27;106
10;7;28;118
